ActiveDate,Zip3,Zone
3/1/2020,254,2
3/1/2020,255,4
3/1/2020,256,4
3/1/2020,257,4
3/1/2020,258,4
3/1/2020,259,4
3/1/2020,260,4
3/1/2020,261,4
3/1/2020,262,4
3/1/2020,263,4
3/1/2020,264,4
3/1/2020,265,4
3/1/2020,266,4
3/1/2020,267,2
3/1/2020,268,3
3/1/2020,269,
3/1/2020,270,4
3/1/2020,271,4
3/1/2020,272,4
3/1/2020,273,4
3/1/2020,274,4
3/1/2020,275,4
3/1/2020,276,4
3/1/2020,277,4
3/1/2020,278,4
3/1/2020,279,4
3/1/2020,280,4
3/1/2020,281,4
3/1/2020,282,4
3/1/2020,283,4
3/1/2020,284,4
3/1/2020,285,4
3/1/2020,286,4
3/1/2020,287,4
3/1/2020,288,4
3/1/2020,289,4
3/1/2020,290,4
3/1/2020,291,4
3/1/2020,292,4
3/1/2020,293,4
3/1/2020,294,5
3/1/2020,295,4
3/1/2020,296,4
3/1/2020,297,4
3/1/2020,298,5
3/1/2020,299,5
3/1/2020,300,5
3/1/2020,301,5
3/1/2020,302,5
3/1/2020,303,5
3/1/2020,304,5
3/1/2020,305,5
3/1/2020,306,5
3/1/2020,307,5
3/1/2020,308,5
3/1/2020,309,5
3/1/2020,310,5
3/1/2020,311,5
3/1/2020,312,5
3/1/2020,313,5
3/1/2020,314,5
3/1/2020,315,5
3/1/2020,316,5
3/1/2020,317,5
3/1/2020,318,5
3/1/2020,319,5
3/1/2020,320,5
3/1/2020,321,5
3/1/2020,322,5
3/1/2020,323,5
3/1/2020,324,6
3/1/2020,325,6
3/1/2020,326,5
3/1/2020,327,5
3/1/2020,328,5
3/1/2020,329,5
3/1/2020,330,6
3/1/2020,331,6
3/1/2020,332,6
3/1/2020,333,6
3/1/2020,334,6
3/1/2020,335,5
3/1/2020,336,5
3/1/2020,337,6
3/1/2020,338,6
3/1/2020,339,6
3/1/2020,340,6
3/1/2020,341,6
3/1/2020,342,6
3/1/2020,343,
3/1/2020,344,5
3/1/2020,345,
3/1/2020,346,5
3/1/2020,347,5
3/1/2020,348,
3/1/2020,349,6
3/1/2020,350,5
3/1/2020,351,5
3/1/2020,352,5
3/1/2020,353,
3/1/2020,354,5
3/1/2020,355,5
3/1/2020,356,5
3/1/2020,357,5
3/1/2020,358,5
3/1/2020,359,5
3/1/2020,360,5
3/1/2020,361,5
3/1/2020,362,5
3/1/2020,363,5
3/1/2020,364,5
3/1/2020,365,6
3/1/2020,366,6
3/1/2020,367,5
3/1/2020,368,5
3/1/2020,369,6
3/1/2020,370,5
3/1/2020,371,5
3/1/2020,372,5
3/1/2020,373,5
3/1/2020,374,5
3/1/2020,375,5
3/1/2020,376,5
3/1/2020,377,5
3/1/2020,378,5
3/1/2020,379,5
3/1/2020,380,5
3/1/2020,381,5
3/1/2020,382,5
3/1/2020,383,5
3/1/2020,384,5
3/1/2020,385,5
3/1/2020,386,5
3/1/2020,387,6
3/1/2020,388,5
3/1/2020,389,6
3/1/2020,390,6
3/1/2020,391,6
3/1/2020,392,6
3/1/2020,393,6
3/1/2020,394,6
3/1/2020,395,6
3/1/2020,396,6
3/1/2020,397,6
3/1/2020,398,5
3/1/2020,399,5
3/1/2020,400,5
3/1/2020,401,5
3/1/2020,402,5
3/1/2020,403,4
3/1/2020,404,4
3/1/2020,405,4
3/1/2020,406,4
3/1/2020,407,5
3/1/2020,408,5
3/1/2020,409,5
3/1/2020,410,4
3/1/2020,411,4
3/1/2020,412,4
3/1/2020,413,4
3/1/2020,414,4
3/1/2020,415,4
3/1/2020,416,4
3/1/2020,417,5
3/1/2020,418,5
3/1/2020,419,
3/1/2020,420,5
3/1/2020,421,5
3/1/2020,422,5
3/1/2020,423,5
3/1/2020,424,5
3/1/2020,425,5
3/1/2020,426,5
3/1/2020,427,5
3/1/2020,428,
3/1/2020,429,
3/1/2020,430,4
3/1/2020,431,4
3/1/2020,432,4
3/1/2020,433,4
3/1/2020,434,4
3/1/2020,435,4
3/1/2020,436,4
3/1/2020,437,4
3/1/2020,438,4
3/1/2020,439,4
3/1/2020,440,4
3/1/2020,441,4
3/1/2020,442,4
3/1/2020,443,4
3/1/2020,444,4
3/1/2020,445,4
3/1/2020,446,4
3/1/2020,447,4
3/1/2020,448,4
3/1/2020,449,4
3/1/2020,450,4
3/1/2020,451,4
3/1/2020,452,4
3/1/2020,453,4
3/1/2020,454,4
3/1/2020,455,4
3/1/2020,456,4
3/1/2020,457,4
3/1/2020,458,4
3/1/2020,459,4
3/1/2020,460,5
3/1/2020,461,5
3/1/2020,462,5
3/1/2020,463,5
3/1/2020,464,5
3/1/2020,465,5
3/1/2020,466,5
3/1/2020,467,4
3/1/2020,468,4
3/1/2020,469,5
3/1/2020,470,4
3/1/2020,471,5
3/1/2020,472,5
3/1/2020,473,4
3/1/2020,474,5
3/1/2020,475,5
3/1/2020,476,5
3/1/2020,477,5
3/1/2020,478,5
3/1/2020,479,5
3/1/2020,480,4
3/1/2020,481,4
3/1/2020,482,4
3/1/2020,483,4
3/1/2020,484,4
3/1/2020,485,4
3/1/2020,486,4
3/1/2020,487,4
3/1/2020,488,4
3/1/2020,489,4
3/1/2020,490,4
3/1/2020,491,4
3/1/2020,492,4
3/1/2020,493,4
3/1/2020,494,4
3/1/2020,495,4
3/1/2020,496,5
3/1/2020,497,5
3/1/2020,498,5
3/1/2020,499,5
3/1/2020,500,5
3/1/2020,501,5
3/1/2020,502,5
3/1/2020,503,5
3/1/2020,504,5
3/1/2020,505,5
3/1/2020,506,5
3/1/2020,507,5
3/1/2020,508,5
3/1/2020,509,5
3/1/2020,510,6
3/1/2020,511,6
3/1/2020,512,6
3/1/2020,513,6
3/1/2020,514,5
3/1/2020,515,6
3/1/2020,516,6
3/1/2020,517,
3/1/2020,518,
3/1/2020,519,
3/1/2020,520,5
3/1/2020,521,5
3/1/2020,522,5
3/1/2020,523,5
3/1/2020,524,5
3/1/2020,525,5
3/1/2020,526,5
3/1/2020,527,5
3/1/2020,528,5
3/1/2020,529,
3/1/2020,530,5
3/1/2020,531,5
3/1/2020,532,5
3/1/2020,533,
3/1/2020,534,5
3/1/2020,535,5
3/1/2020,536,
3/1/2020,537,5
3/1/2020,538,5
3/1/2020,539,5
