tracking number,rate__shipment__address_to__zip,Account
9374869903505631508230,44710-2000,5358164
9374869903505631509787,92120-2143,5358164
9374869903505631511247,01440-3041,5358164
9374869903505631512008,55316-1543,5358164
9374869903505631512947,37336-6604,5358164
9374869903505631510301,41094-0012,5358164
9374869903505631513548,34652-1521,5358164
9374869903505631514095,30127-2163,5358164
9374869903505631517683,95829-6087,5358164
9374869903505631518284,62615-1035,5358164
9374869903505631519939,20710-2132,5358164
9374869903505631520584,90810-2147,5358164
9374869903505631520874,68528-1436,5358164
9374869903505631521482,32535-2472,5358164
9374869903505631521871,94520-3006,5358164
9374869903505631523516,79761-6841,5358164
9374869903505631522991,33161-3953,5358164
9374869903505631523646,19061-4319,5358164
9374869903505631525527,60621-3847,5358164
9374869903505631523820,31220-3853,5358164
9374869903505632955040,39530-2471,5358164
9374869903505632964905,60901-4270,5358164
9374869903505632970043,48312-3075,5358164
9374869903505632973006,33173-4563,5358164
9374869903505632976359,21014-2211,5358164
9374869903505632971262,11224-4128,5358164
9374869903505632990492,93550-6931,5358164
9374869903505633015637,22042-1625,5358164
9374869903505633017181,92563-4393,5358164
9374869903505633020273,54220-2145,5358164
9374869903505633027111,48439-4913,5358164
9374869903505633031347,90037-3423,5358164
9374869903505633036687,85296-4265,5358164
9374869903505633039022,24541-1818,5358164
9374869903505633041131,83815-8837,5358164
9374869903505633045689,33948-7635,5358164
9374869903505633056913,60543-8276,5358164
9374869903505633061399,60014-3869,5358164
9374869903505633065830,28741-0258,5358164
9374869903505633070599,19382-5422,5358164
9374869903505633074917,33147-6856,5358164
9374869903505633088495,37303-7537,5358164
9374869903505633095189,22664-3164,5358164
9374869903505633100364,85335-3407,5358164
9374869903505633109565,70346-4300,5358164
9374869903505633112008,60021-1910,5358164
36BDC718FE0B423C8A3709C66,R2R 2C3,5358164
4479E4E2529442529AAD2B87A,N3t 0H2,5358164
1D8A58E127014F79B46BF779A,T0H 2C0,5358164
C0879F5A570B44758B3D7E731,V0H 1H4,5358164
3A55DF9624E840C1A00A9C1E2,V3w6k7,5358164
6FF69F44186B4BCEB57B2FF38,L8R1M5,5358164
D44F58133E7945738B8089C85,t2z 1s2,5358164
C09D9069952346499EB542545,69395,5358164
96639617F67F4AA284702B767,G0A-4K0,5358164
A9F0D58EB0B14643994A7FFD4,j2s4z7,5358164
86331EEDE9714707B3EF37437,H2V 4G3,5358164
53B8FA6F65D442FC848B1F27E,v6g1t2,5358164
1B4F64E9F7A9421E8FF93CAF6,V3T0K2,5358164
A61F1C74EF414B91878D58014,G1C 2C2,5358164
13770BB857CB4B0B8084DD9EF,G6V0P4,5358164
5BED516F654C4C2A9C2618606,l3r3t3,5358164
2638A96CE78F4AE3B0B3629ED,T1V2A2,5358164
EA1E1E45DE04477584354395A,B0T 1X0,5358164
B32A520BC63544C581A77F6A9,T5M1P6,5358164
E5A899BB3E454648A425190D6,4123,5358164
FC08C0AFECCB4965A78B5117D,5095,5358164
CAF98E1B55784CC18E8207EE7,V3T0K2,5358164
0BA53CAD79514D70B9625FAF7,9375621,5358164
