Shipment - Tracking Number,Ship To - Postal Code,Account
9374869903505584244841,30273-1341,5357703
9374869903505584242854,53142-3456,5357703
9374869903505584244872,13748-1838,5357703
9374869903505584244322,33922-3511,5357703
9374869903505584244889,33166-2815,5357703
9374869903505584244353,07004-2611,5357703
9374869903505584244377,92324-6851,5357703
9374869903505584244384,43302-2520,5357703
9374869903505584244391,33018-1238,5357703
9374869903505584244940,18210-3825,5357703
9374869903505584244414,85009-5075,5357703
9374869903505584244445,00795-9799,5357703
9374869903505584244995,16617-2210,5357703
9374869903505584244452,794,5357703
9374869903505584245008,93552-5479,5357703
9374869903505584242939,19446-0306,5357703
9374869903505584244483,14225-4241,5357703
9374869903505584245053,07064-1813,5357703
9374869903505584245060,72076-4504,5357703
9374869903505584245510,33166-6436,5357703
9374869903505584245077,90723-3311,5357703
9374869903505584245527,94602-3318,5357703
9374869903505584245107,33705-4854,5357703
9374869903505584245114,90046-5782,5357703
9374869903505584245541,11951-4403,5357703
9374869903505584245145,02451-3181,5357703
9374869903505584245152,32608-3369,5357703
9374869903505584242977,76119-6745,5357703
9374869903505584245602,24541-1472,5357703
9374869903505584245183,55104-1441,5357703
9374869903505584245664,64119-7838,5357703
9374869903505584245695,48837-9162,5357703
20201001180911295WKYFAI0,3977,5357703
202010011809144772ML5VNL,4691500,5357703
9374869903505585785459,33025-1708,5357703
9374869903505585785466,23413-0137,5357703
9374869903505585788290,33172-2779,5357703
9374869903505585788306,75287-6003,5357703
9374869903505585788757,75965-3940,5357703
9374869903505585788788,37757-3735,5357703
9374869903505585788344,11230-2202,5357703
9374869903505585789518,33198-1534,5357703
9374869903505585788429,71433-6720,5357703
9374869903505585789525,30815-6827,5357703
9374869903505585788467,33126-1016,5357703
9374869903505585788474,32607-3383,5357703
9374869903505585789549,78852-6805,5357703
9374869903505585788504,93722-6733,5357703
9374869903505585788863,19140-5508,5357703
9374869903505585788870,49401-7342,5357703
9374869903505585790521,91345-1318,5357703
9374869903505585789556,27601-2341,5357703
9374869903505585788887,55117-4271,5357703
9374869903505585790606,27587-1874,5357703
9374869903505585790613,60618-1004,5357703
9374869903505585790620,87110-3028,5357703
9374869903505585789600,33186-6145,5357703
9374869903505585789594,93534-1426,5357703
9374869903505585790644,13206-2452,5357703
9374869903505585788948,74060-0074,5357703
9374869903505585790668,80203-3125,5357703
9374869903505585789617,61462-2995,5357703
9374869903505585788955,77067-3514,5357703
9374869903505585790651,73084-3819,5357703
9374869903505585789631,27530-8839,5357703
9374869903505585788962,16505-4021,5357703
9374869903505585790699,17921-1213,5357703
9374869903505585790705,27864-9517,5357703
9374869903505585790712,75156-7209,5357703
9374869903505585789648,48033-4120,5357703
9374869903505585788993,78023-4305,5357703
9374869903505585790736,30161-5861,5357703
9374869903505585790743,01906-2660,5357703
9374869903505585790767,11552-4314,5357703
9374869903505585789044,27330-9055,5357703
9374869903505585789037,67801-2318,5357703
9374869903505585789051,37035-5021,5357703
9374869903505585790781,92394-1073,5357703
9374869903505585789709,95355-4555,5357703
9374869903505585790798,30401-3226,5357703
9374869903505585789723,70062-8305,5357703
9374869903505585789075,66216-3639,5357703
9374869903505585789099,43609-1955,5357703
9374869903505585789082,11230-2202,5357703
9374869903505585789730,92374-5085,5357703
9374869903505585789754,98204-1834,5357703
9374869903505585789761,02169-7011,5357703
9374869903505585790811,49341-1171,5357703
9374869903505585790828,90003-3627,5357703
9374869903505585789105,78503-3198,5357703
9374869903505585789112,70525-4109,5357703
9374869903505585789129,43968-9752,5357703
9374869903505585789785,32539-2939,5357703
9374869903505585789792,21131-1113,5357703
9374869903505585789136,21230-1731,5357703
9374869903505585789143,39553-6652,5357703
9374869903505585789839,08071-1411,5357703
9374869903505585790866,29466-8933,5357703
9374869903505585790880,77090-1645,5357703
9374869903505585789174,19137-2003,5357703
9374869903505585789181,95062-1107,5357703
9374869903505585789204,53151-8232,5357703
9374869903505585789228,14075-1107,5357703
9374869903505585789235,99203-3111,5357703
9374869903505585789877,94024-5633,5357703
9374869903505585789860,34608-2213,5357703
9374869903505585789242,44055-1922,5357703
9374869903505585789884,33025-1708,5357703
9374869903505585789266,98221-7674,5357703
9374869903505585790903,53098-3034,5357703
9374869903505585790910,23238-7112,5357703
9374869903505585789273,06470-1036,5357703
9374869903505585789891,21229-5152,5357703
9374869903505585789297,97524-4563,5357703
9374869903505585789303,30606-2953,5357703
9374869903505585790934,10312-1809,5357703
9374869903505585789914,15205-9419,5357703
9374869903505585790996,38225-2327,5357703
9374869903505585791009,78557-4344,5357703
9374869903505585791016,20001,5357703
9374869903505585789372,97113-6231,5357703
20201002032236669LMPF3ZE,84100,5357703
9374869903505585789983,23504-3073,5357703
9374869903505585789990,28365-7183,5357703
9374869903505585790026,18210-3825,5357703
9374869903505585789464,44446-1605,5357703
9374869903505585791139,37664-5193,5357703
9374869903505585789471,18058-8154,5357703
9374869903505585790040,30132-6334,5357703
9374869903505585791146,60970-1719,5357703
9374869903505585789495,93308-2419,5357703
9374869903505585789501,58504-6447,5357703
9374869903505585790095,91316-3061,5357703
9374869903505585791528,33166-3900,5357703
9374869903505585791160,08857-1661,5357703
9374869903505585791573,90247-5362,5357703
9374869903505585791177,85613-5047,5357703
20201002032239948NCX0QUH,SR7 8NE,5357703
9374869903505585791245,33801-2481,5357703
9374869903505585790156,60453-1246,5357703
9374869903505585791665,93245-1755,5357703
9374869903505585791276,77327-8794,5357703
9374869903505585791313,78589-2630,5357703
9374869903505585791771,83686-2914,5357703
9374869903505587564038,33015-2952,5357703
9374869903505587565097,10019-7572,5357703
9374869903505587565080,28023-6537,5357703
9374869903505587564014,21222-6234,5357703
9374869903505587564021,29212-2103,5357703
9374869903505587564045,30084-2238,5357703
9374869903505587565134,14445-2116,5357703
9374869903505587559263,30101-5437,5357703
9374869903505587564076,06811-2848,5357703
9374869903505587564120,92028-3801,5357703
9374869903505587564144,18067-9078,5357703
9374869903505587559287,30024-1597,5357703
9374869903505587564168,43777-9623,5357703
9374869903505587565196,39702-4448,5357703
9374869903505587559317,90028-7564,5357703
9374869903505587565189,29212-2103,5357703
9374869903505587565219,68046-4515,5357703
9374869903505587559324,98011-2552,5357703
9374869903505587565233,15501-2755,5357703
9374869903505587565240,33332-2310,5357703
9374869903505587559331,85043-1915,5357703
9374869903505587565257,81148-0454,5357703
9374869903505587559348,23601-3321,5357703
9374869903505587564182,07073-1004,5357703
9374869903505587565295,80631-3701,5357703
9374869903505587565318,11207-1588,5357703
9374869903505587565301,59923-6626,5357703
9374869903505587565349,14624-4917,5357703
9374869903505587565271,36576-0622,5357703
9374869903505587565394,29801-2875,5357703
9374869903505587565400,24087-4373,5357703
9374869903505587559362,91352-4170,5357703
9374869903505587565486,33415-4685,5357703
9374869903505587565523,85719-4345,5357703
9374869903505587559386,33415-4685,5357703
9374869903505587565547,63552-1638,5357703
9374869903505587565578,33166-2651,5357703
9374869903505587565615,22311-5925,5357703
9374869903505587565639,02790-3504,5357703
20201002143114459LAF1P12,Pafos 8049,5357703
20201002143118257F1RT4YL,X0E0T0,5357703
9374869903505587870849,60076-4136,5357703
9374869903505587872744,45640-2114,5357703
9374869903505587872751,38301-8400,5357703
9374869903505587870856,47401-6820,5357703
9374869903505587872232,07731-2628,5357703
9374869903505587872218,43119-9236,5357703
9374869903505587872775,53235-4736,5357703
9374869903505587872805,16504-2509,5357703
